HOMBRE ,MUJER,UNIDAD ACADEMICA ,NIVEL,IDIOMA,POBLACION,COMPETENCIA
1,0,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",EMPLEADOS,INGLÉS,Población IPN,BASICO
317,384,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",No aplica,INGLÉS,Población General,BASICO
75,80,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",MEDIO SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
35,29,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
1,0,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",EGRESADOS,INGLÉS,Población IPN,INTERMEDIO
79,136,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",No aplica,INGLÉS,Población General,INTERMEDIO
43,40,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",MEDIO SUPERIOR,INGLÉS,Población IPN,AVANZADO
29,19,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",SUPERIOR,INGLÉS,Población IPN,AVANZADO
2,3,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",EGRESADOS,INGLÉS,Población IPN,AVANZADO
55,63,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",No aplica,INGLÉS,Población General,AVANZADO
